,Area,Item,Unit,Value,Sentence
222162,Northern Africa (excluding Sudan),Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1822,In Northern Africa (excluding Sudan) the Minimum dietary energy requirement  (kcal/cap/day) is 1822 kcal/cap/d
222186,Northern Africa (excluding Sudan),Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2353,In Northern Africa (excluding Sudan) the Average dietary energy requirement (kcal/cap/day) is 2353 kcal/cap/d
222207,Northern Africa (excluding Sudan),Average fat supply (g/cap/day) (3-year average),g/cap/d,74.6,In Northern Africa (excluding Sudan) the Average fat supply (g/cap/day) (3-year average) is 74.6 g/cap/d
222229,Southern Africa,Average dietary energy supply adequacy (percent) (3-year average),%,111,In Southern Africa the Average dietary energy supply adequacy (percent) (3-year average) is 111 %
222253,Southern Africa,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2737,In Southern Africa the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2737 kcal/cap/d
222275,Southern Africa,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2743,In Southern Africa the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2743 kcal/cap/d
222296,Southern Africa,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,46,"In Southern Africa the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 46 %"
222317,Southern Africa,Average protein supply (g/cap/day) (3-year average),g/cap/d,79.7,In Southern Africa the Average protein supply (g/cap/day) (3-year average) is 79.7 g/cap/d
222338,Southern Africa,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,38.4,In Southern Africa the Average supply of protein of animal origin (g/cap/day) (3-year average) is 38.4 g/cap/d
222361,Southern Africa,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,13859.7,"In Southern Africa the Gross domestic product per capita, PPP, (constant 2017 international $) is 13859.7 Int$/cap"
222383,Southern Africa,Prevalence of undernourishment (percent) (3-year average),%,9.4,In Southern Africa the Prevalence of undernourishment (percent) (3-year average) is 9.4 %
222407,Southern Africa,Prevalence of undernourishment (percent) (annual value),%,9.6,In Southern Africa the Prevalence of undernourishment (percent) (annual value) is 9.6 %
222453,Southern Africa,Number of people undernourished (million) (annual value),million No,6.6,In Southern Africa the Number of people undernourished (million) (annual value) is 6.6 million No
222605,Southern Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,10.1,In Southern Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 10.1 %
222613,Southern Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,9.5,In Southern Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 9.5 %
222621,Southern Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,10.8,In Southern Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 10.8 %
222631,Southern Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,10,In Southern Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 10 %
222641,Southern Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,9.3,In Southern Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 9.3 %
222651,Southern Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,10.7,In Southern Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 10.7 %
222659,Southern Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,11.3,In Southern Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 11.3 %
222667,Southern Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,10.7,In Southern Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 10.7 %
222675,Southern Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,12,In Southern Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 12 %
222685,Southern Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,11.5,In Southern Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 11.5 %
222695,Southern Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,10.8,In Southern Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 10.8 %
222705,Southern Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,12.1,In Southern Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 12.1 %
222857,Southern Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,22.9,In Southern Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 22.9 %
222865,Southern Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,21.9,In Southern Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 21.9 %
222873,Southern Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,23.9,In Southern Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 23.9 %
222883,Southern Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,23.5,In Southern Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 23.5 %
222893,Southern Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,22.4,In Southern Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 22.4 %
222903,Southern Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,24.5,In Southern Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 24.5 %
222911,Southern Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,24.6,In Southern Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 24.6 %
222919,Southern Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,23.6,In Southern Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 23.6 %
222927,Southern Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,25.6,In Southern Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 25.6 %
222937,Southern Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,25.7,In Southern Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 25.7 %
222947,Southern Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,24.8,In Southern Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 24.8 %
222957,Southern Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,26.7,In Southern Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 26.7 %
223302,Southern Africa,Cereal import dependency ratio (percent) (3-year average),%,10.7,In Southern Africa the Cereal import dependency ratio (percent) (3-year average) is 10.7 %
223323,Southern Africa,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.7,In Southern Africa the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.7 %
223344,Southern Africa,Value of food imports in total merchandise exports (percent) (3-year average),%,6,In Southern Africa the Value of food imports in total merchandise exports (percent) (3-year average) is 6 %
223368,Southern Africa,Per capita food supply variability (kcal/cap/day),kcal/cap/d,21,In Southern Africa the Per capita food supply variability (kcal/cap/day) is 21 kcal/cap/d
223391,Southern Africa,Percentage of population using safely managed sanitation services (percent),%,67,In Southern Africa the Percentage of population using safely managed sanitation services (percent) is 67 %
223414,Southern Africa,Percentage of population using at least basic sanitation services (percent),%,75,In Southern Africa the Percentage of population using at least basic sanitation services (percent) is 75 %
223437,Southern Africa,Percentage of children under 5 years affected by wasting (percent),%,3.5,In Southern Africa the Percentage of children under 5 years affected by wasting (percent) is 3.5 %
223484,Southern Africa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,22.8,In Southern Africa the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 22.8 %
223530,Southern Africa,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,11.4,In Southern Africa the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 11.4 %
223576,Southern Africa,Prevalence of obesity in the adult population (18 years and older) (percent),%,29.7,In Southern Africa the Prevalence of obesity in the adult population (18 years and older) (percent) is 29.7 %
223599,Southern Africa,Number of obese adults (18 years and older) (million),million No,13.4,In Southern Africa the Number of obese adults (18 years and older) (million) is 13.4 million No
223619,Southern Africa,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,30.3,In Southern Africa the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 30.3 %
223662,Southern Africa,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,32.8,In Southern Africa the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is 32.8 %
223683,Southern Africa,Prevalence of low birthweight (percent),%,16.4,In Southern Africa the Prevalence of low birthweight (percent) is 16.4 %
223728,Southern Africa,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1832,In Southern Africa the Minimum dietary energy requirement  (kcal/cap/day) is 1832 kcal/cap/d
223752,Southern Africa,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2369,In Southern Africa the Average dietary energy requirement (kcal/cap/day) is 2369 kcal/cap/d
223773,Southern Africa,Average fat supply (g/cap/day) (3-year average),g/cap/d,92.3,In Southern Africa the Average fat supply (g/cap/day) (3-year average) is 92.3 g/cap/d
223795,Western Africa,Average dietary energy supply adequacy (percent) (3-year average),%,119,In Western Africa the Average dietary energy supply adequacy (percent) (3-year average) is 119 %
223819,Western Africa,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2626,In Western Africa the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2626 kcal/cap/d
223841,Western Africa,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2640,In Western Africa the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2640 kcal/cap/d
223862,Western Africa,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,65,"In Western Africa the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 65 %"
223883,Western Africa,Average protein supply (g/cap/day) (3-year average),g/cap/d,65.6,In Western Africa the Average protein supply (g/cap/day) (3-year average) is 65.6 g/cap/d
223904,Western Africa,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,10.9,In Western Africa the Average supply of protein of animal origin (g/cap/day) (3-year average) is 10.9 g/cap/d
223927,Western Africa,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,4831.3,"In Western Africa the Gross domestic product per capita, PPP, (constant 2017 international $) is 4831.3 Int$/cap"
223949,Western Africa,Prevalence of undernourishment (percent) (3-year average),%,15,In Western Africa the Prevalence of undernourishment (percent) (3-year average) is 15 %
223973,Western Africa,Prevalence of undernourishment (percent) (annual value),%,16,In Western Africa the Prevalence of undernourishment (percent) (annual value) is 16 %
224019,Western Africa,Number of people undernourished (million) (annual value),million No,70.4,In Western Africa the Number of people undernourished (million) (annual value) is 70.4 million No
224171,Western Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,17.7,In Western Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 17.7 %
224179,Western Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,17,In Western Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 17 %
224187,Western Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,18.5,In Western Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 18.5 %
224197,Western Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,18.9,In Western Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 18.9 %
224207,Western Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,18.2,In Western Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 18.2 %
224217,Western Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,19.6,In Western Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 19.6 %
224225,Western Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,17.9,In Western Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 17.9 %
224233,Western Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,17.1,In Western Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 17.1 %
224241,Western Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,18.7,In Western Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 18.7 %
224251,Western Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,18.8,In Western Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 18.8 %
224261,Western Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,18,In Western Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 18 %
224271,Western Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,19.7,In Western Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 19.7 %
224423,Western Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,60.7,In Western Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 60.7 %
224431,Western Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,59.7,In Western Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 59.7 %
224439,Western Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,61.8,In Western Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 61.8 %
224449,Western Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,61.3,In Western Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 61.3 %
224459,Western Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,60.2,In Western Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 60.2 %
224469,Western Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,62.3,In Western Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 62.3 %
224477,Western Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,60.8,In Western Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 60.8 %
224485,Western Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,59.7,In Western Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 59.7 %
224493,Western Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,61.9,In Western Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 61.9 %
224503,Western Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,61.7,In Western Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 61.7 %
224513,Western Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,60.5,In Western Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 60.5 %
224523,Western Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,62.8,In Western Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 62.8 %
224868,Western Africa,Cereal import dependency ratio (percent) (3-year average),%,26.8,In Western Africa the Cereal import dependency ratio (percent) (3-year average) is 26.8 %
224889,Western Africa,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.3,In Western Africa the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.3 %
224910,Western Africa,Value of food imports in total merchandise exports (percent) (3-year average),%,17,In Western Africa the Value of food imports in total merchandise exports (percent) (3-year average) is 17 %
224934,Western Africa,Per capita food supply variability (kcal/cap/day),kcal/cap/d,11,In Western Africa the Per capita food supply variability (kcal/cap/day) is 11 kcal/cap/d
224957,Western Africa,Percentage of population using safely managed drinking water services (percent),%,30,In Western Africa the Percentage of population using safely managed drinking water services (percent) is 30 %
224980,Western Africa,Percentage of population using at least basic drinking water services (percent),%,76,In Western Africa the Percentage of population using at least basic drinking water services (percent) is 76 %
225003,Western Africa,Percentage of population using safely managed sanitation services (percent),%,23,In Western Africa the Percentage of population using safely managed sanitation services (percent) is 23 %
225026,Western Africa,Percentage of population using at least basic sanitation services (percent),%,40,In Western Africa the Percentage of population using at least basic sanitation services (percent) is 40 %
225049,Western Africa,Percentage of children under 5 years affected by wasting (percent),%,6.7,In Western Africa the Percentage of children under 5 years affected by wasting (percent) is 6.7 %
225096,Western Africa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,30,In Western Africa the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 30 %
225142,Western Africa,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,2.4,In Western Africa the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 2.4 %
225188,Western Africa,Prevalence of obesity in the adult population (18 years and older) (percent),%,11.6,In Western Africa the Prevalence of obesity in the adult population (18 years and older) (percent) is 11.6 %
225211,Western Africa,Number of obese adults (18 years and older) (million),million No,25.2,In Western Africa the Number of obese adults (18 years and older) (million) is 25.2 million No
225231,Western Africa,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,51.8,In Western Africa the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 51.8 %
225274,Western Africa,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,38.3,In Western Africa the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is 38.3 %
225295,Western Africa,Prevalence of low birthweight (percent),%,14.3,In Western Africa the Prevalence of low birthweight (percent) is 14.3 %
225340,Western Africa,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1729,In Western Africa the Minimum dietary energy requirement  (kcal/cap/day) is 1729 kcal/cap/d
225364,Western Africa,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2228,In Western Africa the Average dietary energy requirement (kcal/cap/day) is 2228 kcal/cap/d
225385,Western Africa,Average fat supply (g/cap/day) (3-year average),g/cap/d,57.3,In Western Africa the Average fat supply (g/cap/day) (3-year average) is 57.3 g/cap/d
225407,Sub-Saharan Africa,Average dietary energy supply adequacy (percent) (3-year average),%,108,In Sub-Saharan Africa the Average dietary energy supply adequacy (percent) (3-year average) is 108 %
225431,Sub-Saharan Africa,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2437,In Sub-Saharan Africa the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2437 kcal/cap/d
225453,Sub-Saharan Africa,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2446,In Sub-Saharan Africa the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2446 kcal/cap/d
225474,Sub-Saharan Africa,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,63,"In Sub-Saharan Africa the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 63 %"
225495,Sub-Saharan Africa,Average protein supply (g/cap/day) (3-year average),g/cap/d,60.7,In Sub-Saharan Africa the Average protein supply (g/cap/day) (3-year average) is 60.7 g/cap/d
225516,Sub-Saharan Africa,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,13,In Sub-Saharan Africa the Average supply of protein of animal origin (g/cap/day) (3-year average) is 13 g/cap/d
225539,Sub-Saharan Africa,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,4419.3,"In Sub-Saharan Africa the Gross domestic product per capita, PPP, (constant 2017 international $) is 4419.3 Int$/cap"
225561,Sub-Saharan Africa,Prevalence of undernourishment (percent) (3-year average),%,22.7,In Sub-Saharan Africa the Prevalence of undernourishment (percent) (3-year average) is 22.7 %
225585,Sub-Saharan Africa,Prevalence of undernourishment (percent) (annual value),%,23.2,In Sub-Saharan Africa the Prevalence of undernourishment (percent) (annual value) is 23.2 %
225631,Sub-Saharan Africa,Number of people undernourished (million) (annual value),million No,277.7,In Sub-Saharan Africa the Number of people undernourished (million) (annual value) is 277.7 million No
225783,Sub-Saharan Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,23.3,In Sub-Saharan Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 23.3 %
225791,Sub-Saharan Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,22.8,In Sub-Saharan Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 22.8 %
225799,Sub-Saharan Africa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,23.8,In Sub-Saharan Africa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 23.8 %
225809,Sub-Saharan Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,23.2,In Sub-Saharan Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 23.2 %
225819,Sub-Saharan Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,22.7,In Sub-Saharan Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 22.7 %
225829,Sub-Saharan Africa,Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,23.7,In Sub-Saharan Africa the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 23.7 %
225837,Sub-Saharan Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,23.7,In Sub-Saharan Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 23.7 %
225845,Sub-Saharan Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,23.2,In Sub-Saharan Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 23.2 %
225853,Sub-Saharan Africa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,24.2,In Sub-Saharan Africa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 24.2 %
225863,Sub-Saharan Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,23.6,In Sub-Saharan Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 23.6 %
225873,Sub-Saharan Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,23.1,In Sub-Saharan Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 23.1 %
225883,Sub-Saharan Africa,Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,24.1,In Sub-Saharan Africa the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 24.1 %
226035,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,62.2,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 62.2 %
226043,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,61.5,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 61.5 %
226051,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,62.9,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 62.9 %
226061,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,62.6,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 62.6 %
226071,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,61.8,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 61.8 %
226081,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,63.3,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 63.3 %
226089,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,62.7,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 62.7 %
226097,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,62,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 62 %
226105,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,63.4,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 63.4 %
226115,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,62.7,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 62.7 %
226125,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,62,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 62 %
226135,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),%,63.5,In Sub-Saharan Africa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value) is 63.5 %
226480,Sub-Saharan Africa,Cereal import dependency ratio (percent) (3-year average),%,22.8,In Sub-Saharan Africa the Cereal import dependency ratio (percent) (3-year average) is 22.8 %
226501,Sub-Saharan Africa,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.3,In Sub-Saharan Africa the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.3 %
226522,Sub-Saharan Africa,Value of food imports in total merchandise exports (percent) (3-year average),%,14,In Sub-Saharan Africa the Value of food imports in total merchandise exports (percent) (3-year average) is 14 %
226546,Sub-Saharan Africa,Per capita food supply variability (kcal/cap/day),kcal/cap/d,9,In Sub-Saharan Africa the Per capita food supply variability (kcal/cap/day) is 9 kcal/cap/d
226569,Sub-Saharan Africa,Percentage of population using safely managed drinking water services (percent),%,31,In Sub-Saharan Africa the Percentage of population using safely managed drinking water services (percent) is 31 %
226592,Sub-Saharan Africa,Percentage of population using at least basic drinking water services (percent),%,65,In Sub-Saharan Africa the Percentage of population using at least basic drinking water services (percent) is 65 %
226615,Sub-Saharan Africa,Percentage of population using safely managed sanitation services (percent),%,24,In Sub-Saharan Africa the Percentage of population using safely managed sanitation services (percent) is 24 %
226638,Sub-Saharan Africa,Percentage of population using at least basic sanitation services (percent),%,35,In Sub-Saharan Africa the Percentage of population using at least basic sanitation services (percent) is 35 %
226661,Sub-Saharan Africa,Percentage of children under 5 years affected by wasting (percent),%,5.7,In Sub-Saharan Africa the Percentage of children under 5 years affected by wasting (percent) is 5.7 %
226708,Sub-Saharan Africa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,31.3,In Sub-Saharan Africa the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 31.3 %
226754,Sub-Saharan Africa,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,3.7,In Sub-Saharan Africa the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 3.7 %
226800,Sub-Saharan Africa,Prevalence of obesity in the adult population (18 years and older) (percent),%,11.4,In Sub-Saharan Africa the Prevalence of obesity in the adult population (18 years and older) (percent) is 11.4 %
226823,Sub-Saharan Africa,Number of obese adults (18 years and older) (million),million No,68.8,In Sub-Saharan Africa the Number of obese adults (18 years and older) (million) is 68.8 million No
226843,Sub-Saharan Africa,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,40.7,In Sub-Saharan Africa the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 40.7 %
